2, 6, 8, nback, 5, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0055, 1, 0.4572
2, 6, 8, nback, 6, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0054, 1, 0.4641
2, 6, 8, nback, 7, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0052, 1, 0.4134
2, 6, 8, nback, 8, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0050, 1, 0.6485
2, 6, 8, nback, 9, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0049, 1, 0.5487
2, 6, 8, nback, 10, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0047, 1, 0.5098
2, 6, 8, nback, 11, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0045, 1, 0.4982
2, 6, 8, nback, 12, 1, 2@, 2@, 44, 080.jpg, singleton, nback_singleton_2back, 0.0043, 1, 0.5023
2, 6, 8, nback, 13, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0042, 1, 0.4253
2, 6, 8, nback, 14, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0039, 1, 0.4137
2, 6, 8, nback, 15, 1, 2@, 2@, 31, 011.jpg, same, nback_same_pair1_2back, 0.0038, 1, 0.4458
2, 6, 8, nback, 16, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0037, 1, 0.5640
2, 6, 8, nback, 17, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0034, 1, 0.4903
